Date,Total Yield (Smooth),GridDurationHours,MaintDurationHours,DelREMO,Temp (Smooth),Cloud Cover (Smooth)
2020-11-17,210.69266666666664,0.0,0.0,0.5891666666666666,19.0,8.366666666666665
2020-11-18,215.24066666666667,0.0,0.0,0.0,18.86,8.366666666666665
2020-11-19,217.25333333333333,0.0022222222222222,0.0,0.0,18.546666666666663,8.373333333333331
2020-11-20,220.14666666666668,0.0,0.0,2.6933333333333334,18.226666666666663,8.373333333333333
2020-11-21,224.54066666666668,0.0022222222222222,0.0,0.0,17.826666666666664,8.706666666666667
2020-11-22,214.02066666666667,0.0,0.0,0.0,17.5,11.506666666666668
2020-11-23,210.32800000000003,0.0,0.0,0.0,17.27333333333333,14.646666666666668
2020-11-24,203.748,0.0,0.0,0.0,17.08,18.573333333333334
2020-11-25,189.4813333333333,0.0,0.0,0.0,16.826666666666664,23.560000000000002
2020-11-26,189.66133333333332,0.0,0.0,0.0,16.653333333333332,27.140000000000004
2020-11-27,196.64066666666668,0.0,0.0,0.0,16.513333333333332,27.100000000000005
2020-11-28,201.90733333333333,0.0,0.0,0.0,16.393333333333334,27.10666666666667
2020-11-29,205.84066666666664,0.0,0.0,0.0,16.21333333333333,27.626666666666665
2020-11-30,212.32066666666663,0.0,0.0,0.0,15.94,23.73333333333333
2020-12-01,222.528,0.0,0.0,0.0,15.786666666666665,19.513333333333332
2020-12-02,220.08733333333333,0.0,0.0,0.0,15.686666666666666,19.506666666666668
2020-12-03,215.82066666666665,0.0,0.0,0.0841666666666666,15.633333333333333,19.506666666666668
2020-12-04,211.45999999999998,0.0,0.0,0.0841666666666666,15.686666666666666,20.4
2020-12-05,203.49333333333334,0.0,0.0,0.0,15.82,22.113333333333333
2020-12-06,195.28066666666666,0.0,0.0,0.0841666666666666,16.026666666666667,21.833333333333332
2020-12-07,192.24733333333333,0.0,0.0,1.346666666666667,16.21333333333333,19.046666666666667
2020-12-08,197.194,0.0,0.0,0.0841666666666666,16.34,16.58
