Date,Total Yield [kWh],Inverter 1 [kWh]
2021-01-04,185.61,185.61
2021-01-05,37.59,37.59
2021-01-06,124.41,124.41
2021-01-07,31.59,31.59
2021-01-08,195.91,195.91
2021-01-09,146.5,146.5
2021-01-10,192.0,192.0
2021-01-11,177.5,177.5
2021-01-12,138.89,138.89
2021-01-13,152.31,152.31
2021-01-14,68.09,68.09
2021-01-15,137.41,137.41
2021-01-16,49.59,49.59
2021-01-17,171.8,171.8
2021-01-18,182.11,182.11
2021-01-19,221.39,221.39
2021-01-20,234.2,234.2
2021-01-21,260.2,260.2
2021-01-22,110.8,110.8
2021-01-23,188.91,188.91
2021-01-24,51.5,51.5
2021-01-25,220.69,220.69
2021-01-26,254.41,254.41
2021-01-27,305.59,305.59
2021-01-28,195.11,195.11
2021-01-29,239.2,239.2
2021-01-30,277.69,277.69
2021-01-31,251.7,251.7
2021-02-01,273.7,273.7
2021-02-02,105.2,105.2
2021-02-03,221.3,221.3
2021-02-04,90.3,90.3
2021-02-05,303.2,303.2
2021-02-06,306.39,306.39
2021-02-07,220.31,220.31
2021-02-08,266.89,266.89
2021-02-09,197.61,197.61
2021-02-10,230.89,230.89
2021-02-11,214.7,214.7
2021-02-12,209.41,209.41
2021-02-13,258.89,258.89
2021-02-14,225.7,225.7
2021-02-15,230.8,230.8
2021-02-16,263.5,263.5
2021-02-17,270.41,270.41
2021-02-18,260.59,260.59
2021-02-19,221.2,221.2
2021-02-20,225.09,225.09
2021-02-21,277.81,277.81
2021-02-22,273.59,273.59
2021-02-23,292.8,292.8
2021-02-24,314.8,314.8
2021-02-25,320.41,320.41
2021-02-26,313.59,313.59
2021-02-27,216.0,216.0
2021-02-28,368.5,368.5
2021-03-01,328.81,328.81
2021-03-02,363.59,363.59
2021-03-03,352.91,352.91
2021-03-04,293.3,293.3
2021-03-05,340.2,340.2
2021-03-06,328.69,328.69
2021-03-07,240.2,240.2
2021-03-08,288.5,288.5
2021-03-09,278.2,278.2
2021-03-10,226.8,226.8
2021-03-11,317.2,317.2
2021-03-12,138.09,138.09
2021-03-13,285.91,285.91
2021-03-14,339.0,339.0
2021-03-15,287.09,287.09
2021-03-16,64.41,64.41
2021-03-17,314.8,314.8
2021-03-18,320.41,320.41
2021-03-19,307.89,307.89
2021-03-20,352.11,352.11
2021-03-21,269.89,269.89
2021-03-22,128.11,128.11
2021-03-23,71.39,71.39
2021-03-24,351.0,351.0
2021-03-25,321.41,321.41
2021-03-26,370.3,370.3
2021-03-27,291.0,291.0
2021-03-28,333.3,333.3
2021-03-29,312.2,312.2
2021-03-30,325.3,325.3
2021-03-31,202.7,202.7
2021-04-01,100.7,100.7
2021-04-02,132.7,132.7
2021-04-03,150.09,150.09
2021-04-04,108.0,108.0
2021-04-05,86.5,86.5
2021-04-06,103.5,103.5
2021-04-07,177.11,177.11
2021-04-08,103.89,103.89
2021-04-09,147.8,147.8
2021-04-10,133.61,133.61
2021-04-11,160.5,160.5
2021-04-12,123.0,123.0
2021-04-13,169.8,169.8
2021-04-14,186.0,186.0
2021-04-15,156.8,156.8
2021-04-16,158.2,158.2
2021-04-17,116.91,116.91
2021-04-18,183.39,183.39
2021-04-19,215.11,215.11
2021-04-20,86.59,86.59
2021-04-21,343.09,343.09
2021-04-22,317.61,317.61
2021-04-23,164.5,164.5
2021-04-24,165.59,165.59
2021-04-25,389.7,389.7
2021-04-26,374.3,374.3
2021-04-27,343.41,343.41
2021-04-28,256.0,256.0
2021-04-29,219.0,219.0
2021-04-30,294.8,294.8
2021-05-01,284.5,284.5
2021-05-02,222.8,222.8
2021-05-03,279.5,279.5
2021-05-04,226.7,226.7
2021-05-05,290.91,290.91
2021-05-06,237.3,237.3
2021-05-07,304.3,304.3
2021-05-08,313.7,313.7
2021-05-09,292.2,292.2
2021-05-10,207.39,207.39
2021-05-11,269.5,269.5
2021-05-12,262.7,262.7
2021-05-13,181.09,181.09
2021-05-14,350.0,350.0
2021-05-15,222.81,222.81
2021-05-16,343.5,343.5
2021-05-17,348.39,348.39
2021-05-18,141.91,141.91
2021-05-19,89.59,89.59
2021-05-20,322.11,322.11
2021-05-21,360.59,360.59
2021-05-22,369.5,369.5
2021-05-23,190.7,190.7
2021-05-24,387.8,387.8
2021-05-25,382.09,382.09
2021-05-26,360.61,360.61
2021-05-27,343.09,343.09
2021-05-28,338.41,338.41
2021-05-29,317.39,317.39
2021-06-06,227.91,227.91
2021-06-07,290.09,290.09
2021-06-08,327.2,327.2
2021-06-09,317.2,317.2
2021-06-10,255.59,255.59
2021-06-11,170.59,170.59
2021-06-12,179.11,179.11
2021-06-13,129.7,129.7
2021-06-14,336.09,336.09
2021-06-15,267.91,267.91
2021-06-16,196.3,196.3
2021-06-17,283.5,283.5
2021-06-18,298.2,298.2
2021-06-19,0.0,
2021-06-20,325.91,325.91
2021-06-21,322.5,322.5
2021-06-22,350.8,350.8
2021-06-23,333.91,333.91
2021-06-24,165.5,165.5
2021-06-25,312.39,312.39
2021-06-26,331.2,331.2
2021-06-27,353.0,353.0
2021-06-28,336.2,336.2
2021-06-29,343.3,343.3
2021-06-30,299.7,299.7
